comment_text,argument_text,label
1arg2,1
1arg3,0
1arg4,1
1arg5,0
1arg6,1
1arg7,0
2arg1,0
2arg2,0
2arg3,0
2arg4,1
2arg5,0
2arg6,1
2arg7,0
3arg1,0
3arg2,0
3arg3,0
3arg4,0
3arg5,0
3arg6,0
3arg7,1
4arg1,0
4arg2,0
4arg3,0
4arg5,0
4arg6,0
4arg7,0
5arg1,0
5arg2,0
5arg3,0
5arg4,1
5arg5,0
5arg6,0
6arg1,0
6arg2,1
6arg3,0
6arg4,1
6arg5,0
6arg6,1
6arg7,0
7arg1,0
7arg2,0
7arg3,0
7arg5,0
7arg6,0
7arg7,0
8arg1,0
8arg2,0
8arg3,0
8arg4,0
8arg5,1
8arg6,0
8arg7,1
9arg1,0
9arg2,0
9arg3,0
9arg4,1
9arg5,0
9arg6,1
9arg7,0
10arg1,0
10arg2,0
10arg3,0
10arg4,1
10arg5,0
10arg6,1
10arg7,0
11arg1,0
11arg2,1
11arg3,0
11arg4,1
11arg5,0
11arg6,1
12arg1,0
12arg2,0
12arg3,0
12arg4,1
12arg5,0
12arg6,1
12arg7,0
13arg1,0
13arg2,0
13arg3,0
13arg6,0
13arg7,1
14arg1,0
14arg2,0
14arg3,0
14arg4,0
14arg5,0
14arg6,0
14arg7,0
15arg1,0
15arg2,0
15arg3,1
15arg4,0
15arg5,0
15arg7,1
16arg1,0
16arg2,0
16arg3,0
16arg4,1
16arg6,1
16arg7,0
17arg1,0
17arg2,0
17arg3,0
17arg4,0
17arg5,0
17arg6,0
17arg7,0
18arg1,0
18arg2,0
18arg3,0
18arg4,0
18arg6,0
18arg7,0
19arg1,0
19arg2,0
19arg3,0
19arg4,1
19arg6,1
20arg1,0
20arg2,0
20arg3,0
20arg4,0
20arg5,0
20arg6,0
20arg7,0
21arg1,0
21arg2,1
21arg3,0
21arg4,1
21arg5,0
21arg6,1
21arg7,0
22arg1,0
22arg2,0
22arg3,0
22arg4,0
22arg5,1
22arg6,0
22arg7,1
23arg1,0
23arg2,0
23arg3,0
23arg4,0
23arg6,0
24arg1,0
24arg2,0
24arg3,0
24arg4,1
24arg5,0
24arg6,0
24arg7,0
25arg1,0
25arg2,0
25arg3,0
25arg5,1
25arg6,0
25arg7,1
26arg1,1
26arg2,0
26arg3,1
26arg4,0
26arg5,1
26arg6,0
26arg7,1
27arg1,0
27arg2,0
27arg3,0
27arg4,0
27arg5,1
27arg6,0
27arg7,1
28arg1,0
28arg2,0
28arg3,0
28arg4,0
28arg5,0
28arg6,0
28arg7,1
29arg1,0
29arg2,0
29arg3,0
29arg4,1
29arg5,0
29arg6,0
29arg7,0
30arg1,0
30arg2,0
30arg3,0
30arg4,1
30arg6,1
30arg7,0
31arg1,0
31arg2,0
31arg3,0
31arg4,1
31arg6,0
31arg7,0
32arg1,0
32arg2,0
32arg3,0
32arg4,0
32arg5,0
32arg6,0
33arg1,0
33arg2,0
33arg3,0
33arg4,1
33arg5,0
33arg6,1
33arg7,0
34arg1,0
34arg2,0
34arg3,0
34arg4,0
34arg5,1
34arg6,0
34arg7,1
35arg1,0
35arg2,0
35arg3,0
35arg4,1
35arg6,1
35arg7,0
36arg1,0
36arg2,0
36arg3,0
36arg4,0
36arg5,0
36arg6,1
37arg1,0
37arg2,0
37arg3,0
37arg4,0
37arg5,1
37arg6,0
37arg7,1
38arg1,0
38arg2,0
38arg3,0
38arg4,0
38arg5,1
38arg6,0
38arg7,1
39arg1,0
39arg2,0
39arg3,0
39arg5,1
39arg6,0
39arg7,1
40arg1,0
40arg2,0
40arg3,0
40arg4,0
40arg6,0
40arg7,1
41arg1,0
41arg2,0
